id_convocatoria,cui
1009459,2634603
1009462,2601622
1009499,2574587
1009549,2623868
1009560,2491159
1009606,2643154
1009638,2459564
1009684,2621773
1009693,2504532
1009697,2616038
1009703,2564961
1009705,2285693
1009720,2093913
1009724,2642623
1009726,5005865
1009767,5005865
1009773,5005865
1009814,2433207
1009821,2202257
1009827,2593320
1009834,2598450
1009843,2619376
1009911,2187790
1009970,2335880
1009973,2449300
1009979,2449380
1010006,2543134
1010041,2610412
1010048,2090771
1010068,"0206862,1544725,2377939"
1010074,2604607
1010078,2193345
1010079,2457768
1010080,2634654
1010113,2501627
1010126,2590637
1010218,2576066
1010219,2607842
1010225,2234735
1010229,2293866
1010267,2598407
1010309,2163354
1010318,2607521
1010324,2596100
1010412,2420842
1010466,2498119
1010467,2598211
1010475,2543823
1010492,2569384
1010501,2626139
1010525,2489748
1010536,2624645
1010616,2621784
1010630,2546183
1010635,2604484
1010690,2635647
1010693,2166538
1010728,2398611
1010782,2566319
1010802,2513655
1010846,2606723
1010888,2475107
1010938,2616434
1010939,2403649
1010944,2567696
1010952,2597336
1010959,2521793
1011017,2575066
1011022,2533796
1011041,2194692
1011099,2474298
1011125,2329750
1011132,2591034
1011135,2539848
1011162,2548382
1011179,2595577
1011192,2516185
1011200,2516185
1011236,2271548
1011240,2340137
1011244,2331387
1011246,2614944
1011269,2595470
1011273,2606134
1011360,2569081
1011395,2561842
1011489,"2568336,2575070,2575124"
1011503,5005865
1011514,2593598
1011519,2578542
1011525,2283911
1011539,2612849
1011579,2194060
1011595,2353166
1011644,2595974
1011654,2589842
1011696,2110614
1011709,2047371
1011752,2266313
1011759,2443663
1011831,2607130
1011839,2552367
1011842,2132053
1011875,2512989
1011897,2382248
1011898,2490431
1011902,2552364
1011911,2642844
1011921,2443663
1011968,2640808
1011978,2563618
1011999,2624965
1012024,2608348
1012038,2167681
1012085,2573068
1012098,2424575
1012157,2632395
1012243,2596562
1012255,2263802
1012263,2614928
1012304,2321350
1012343,2320420
1012369,2215017
1012371,2596539
1012405,2110614
1012430,2244242
1012437,2617063
1012443,2635584
1012448,2408310
1012453,2520034
1012467,2641630
1012492,2343199
1012494,2430118
1012505,2633839
1012506,2375549
1012565,2432049
1012567,2625657
1012588,2550311
1012599,2372375
1012632,2619388
1012641,2459291
1012657,2487990
1012693,2420615
1012706,2610521
1012728,2599544
1012745,2293177
1012751,2498482
1012799,2539204
1012807,2331387
1012839,2508425
1012870,2605860
1012890,2094811
1012905,2458348
1012911,2607480
1012913,2604484
1012944,2638604
1012951,2493639
1012954,2332480
1012967,2568952
1012969,2485964
1013016,2623840
1013021,2624659
1013022,2508408
1013067,2514080
1013098,2472171
1013125,2593460
1013137,2327366
1013138,2629327
1013168,2602074
1013176,2302505
1013215,2224641
1013247,2621602
1013309,2585569
1013318,2611030
1013346,2610692
1013360,2535655
1013398,2471658
1013438,2251136
1013451,2184667
1013474,2466149
1013488,2556614
1013506,2539306
1013515,2601622
1013527,2581648
1013535,2621476
1013551,2372375
1013557,2468129
1013565,2511767
1013575,2621568
1013605,2293866
1013685,2488329
1013689,2588000
1013735,2585341
1013817,2324502
1013854,2590233
1013868,2606576
1013874,2617669
1013886,2412124
1013900,2372375
1014015,2397655
1014017,2632176
1014020,2614783
1014030,2595464
1014053,2629043
1014075,2560088
1014125,2595995
1014153,2604436
1014173,2495900
1014248,2329683
1014257,2501142
